Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Sai Patil896,sai.patil896@gmail.com,fN7a$@$jhP,100.0,0,Bachelor's Degree,NEW_USER
Sai Sharma637,sai.sharma637@gmail.com,JEG6rtJ735,100.0,0,Bachelor's Degree,NEW_USER
Sai Verma358,sai.verma358@gmail.com,H2jsVH4Ih6,100.0,0,Bachelor's Degree,NEW_USER
Shaurya Joshi699,shaurya.joshi699@gmail.com,PsmeT6ssI4,100.0,0,Bachelor's Degree,NEW_USER
Shaurya Pawar654,shaurya.pawar654@gmail.com,@IEMsbUpdB,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Kulkarni968,vihaan.kulkarni968@gmail.com,O$0XJtQ7Yu,100.0,0,Bachelor's Degree,NEW_USER

# SUMMARY #
# Total Shortlisted: 6
# New Users: 6
# Existing Users: 0
# Existing users can login with their DreamRole credentials
# New users have generated passwords above
