JOB DETAILS
Job Title,java
Company,wipro
Location,pune
Job Type,Full-time

SHORTLISTED CANDIDATES
Full Name,Email,Login Status,Match Percentage,Experience (Years),Education Level
"Ishaan Gupta605",ishaan.gupta605@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: H87AjDa$x@OP,,,
"Ishaan Gupta602",ishaan.gupta602@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: bgII$c1@bCm2,,,
"Ishaan Kulkarni950",ishaan.kulkarni950@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: #fz$y$c0vBqr,,,
"Ishaan More422",ishaan.more422@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: wKp**7TUVt!P,,,
"Ishaan Pawar955",ishaan.pawar955@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: LqmZomNXIBMP,,,
"Krishna Joshi280",krishna.joshi280@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: SxSSwKWGDuEF,,,
"Krishna Patil737",krishna.patil737@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: IJ*5lNKrU9tp,,,
"Krishna Patil105",krishna.patil105@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: UbHs*O*yZuHN,,,
"Krishna Verma192",krishna.verma192@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: l7E!XoV09Hlr,,,
"Reyansh Gupta227",reyansh.gupta227@gmail.com,NEW USER,100.0%,0,"Bachelor's"
,,Password: &%N5BgZtIP6n,,,

LOGIN URL: http://localhost:3000/login
