Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Aarav Pawar658,aarav.pawar658@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Deshmukh693,arjun.deshmukh693@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Kulkarni819,arjun.kulkarni819@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar129,arjun.pawar129@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar462,arjun.pawar462@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER

# SUMMARY #
# Total Shortlisted: 5
# New Users: 0
# Existing Users: 5
# Existing users can login with their DreamRole credentials
# New users have generated passwords above
