Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Aarav Pawar658,aarav.pawar658@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Deshmukh693,arjun.deshmukh693@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Kulkarni819,arjun.kulkarni819@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar129,arjun.pawar129@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar462,arjun.pawar462@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Shaurya Deshmukh110,shaurya.deshmukh110@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Shaurya Deshmukh144,shaurya.deshmukh144@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Shaurya Joshi163,shaurya.joshi163@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Vihaan Joshi439,vihaan.joshi439@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Vihaan More449,vihaan.more449@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER

# SUMMARY #
# Total Shortlisted: 10
# New Users: 0
# Existing Users: 10
