Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Shaurya Jadhav212,shaurya.jadhav212@gmail.com,qgFC#iJdU2,100.0,0,Bachelor's Degree,NEW_USER
Shaurya Jadhav683,shaurya.jadhav683@gmail.com,R363@aX78h,100.0,0,Bachelor's Degree,NEW_USER
Shaurya Joshi454,shaurya.joshi454@gmail.com,NtBwYSyRMn,100.0,0,Bachelor's Degree,NEW_USER

# SUMMARY #
# Total Shortlisted: 3
# New Users: 3
# Existing Users: 0
# Existing users can login with their DreamRole credentials
# New users have generated passwords above
