Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Aarav Pawar658,aarav.pawar658@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aarav Sharma665,aarav.sharma665@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aarav Verma657,aarav.verma657@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aditya Deshmukh992,aditya.deshmukh992@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aditya Deshmukh487,aditya.deshmukh487@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aditya Deshmukh254,aditya.deshmukh254@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aditya Jadhav174,aditya.jadhav174@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER

# SUMMARY #
# Total Shortlisted: 7
# New Users: 0
# Existing Users: 7
