Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Aarav Pawar658,aarav.pawar658@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Deshmukh693,arjun.deshmukh693@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Kulkarni819,arjun.kulkarni819@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar129,arjun.pawar129@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar462,arjun.pawar462@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aarav Verma333,aarav.verma333@gmail.com,KFVHObHHJ2,100.0,0,Bachelor's Degree,NEW_USER
Aditya Joshi386,aditya.joshi386@gmail.com,E1NsYzXp8g,100.0,0,Bachelor's Degree,NEW_USER
Aditya Pawar408,aditya.pawar408@gmail.com,KP6$5lv$Qg,100.0,0,Bachelor's Degree,NEW_USER
Arjun Joshi302,arjun.joshi302@gmail.com,8arJK5Fdfu,100.0,0,Bachelor's Degree,NEW_USER
Arjun Kulkarni217,arjun.kulkarni217@gmail.com,z@NdDTVcBl,100.0,0,Bachelor's Degree,NEW_USER

# SUMMARY #
# Total Shortlisted: 10
# New Users: 5
# Existing Users: 5
# Existing users can login with their DreamRole credentials
# New users have generated passwords above
