Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Ishaan Patil587,ishaan.patil587@gmail.com,$2ug397Kqs,100.0,0,Bachelor's Degree,NEW_USER
Krishna Deshmukh327,krishna.deshmukh327@gmail.com,KI2UDMkt3O,100.0,0,Bachelor's Degree,NEW_USER
Krishna Deshmukh431,krishna.deshmukh431@gmail.com,lSi1Rwuvjm,100.0,0,Bachelor's Degree,NEW_USER
Krishna More460,krishna.more460@gmail.com,tYKZQL9KwH,100.0,0,Bachelor's Degree,NEW_USER

# SUMMARY #
# Total Shortlisted: 4
# New Users: 4
# Existing Users: 0
# Existing users can login with their DreamRole credentials
# New users have generated passwords above
