Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Shaurya Verma592,shaurya.verma592@gmail.com,ruvH3CIYMv,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Jadhav615,vihaan.jadhav615@gmail.com,82lulUIXMA,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Jadhav115,vihaan.jadhav115@gmail.com,hHPEy$mz8d,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Kulkarni640,vihaan.kulkarni640@gmail.com,Iu4LRE5pW0,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Kulkarni390,vihaan.kulkarni390@gmail.com,rTIoN73glW,100.0,0,Bachelor's Degree,NEW_USER
Vihaan More413,vihaan.more413@gmail.com,1uC0dyzJkr,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Patil574,vihaan.patil574@gmail.com,QNauErdh3t,100.0,0,Bachelor's Degree,NEW_USER
Vihaan Verma591,vihaan.verma591@gmail.com,D0XsdiYCs3,100.0,0,Bachelor's Degree,NEW_USER
Vivaan Deshmukh234,vivaan.deshmukh234@gmail.com,gPq886DQp1,100.0,0,Bachelor's Degree,NEW_USER
Vivaan Kulkarni450,vivaan.kulkarni450@gmail.com,Ehfh$v903K,100.0,0,Bachelor's Degree,NEW_USER

# SUMMARY #
# Total Shortlisted: 10
# New Users: 10
# Existing Users: 0
