Full Name,Email,Password (for new users),Match Score,Experience,Education,User Type
Aarav Pawar658,aarav.pawar658@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Aarav Sharma665,aarav.sharma665@gmail.com,ngVtbz5I75,100.0,0,Bachelor's Degree,NEW_USER
Aarav Verma657,aarav.verma657@gmail.com,1rUQrBIY7k,100.0,0,Bachelor's Degree,NEW_USER
Aditya Deshmukh992,aditya.deshmukh992@gmail.com,rz8FOjZ@WU,100.0,0,Bachelor's Degree,NEW_USER
Aditya Deshmukh487,aditya.deshmukh487@gmail.com,nyRrmCwV29,100.0,0,Bachelor's Degree,NEW_USER
Aditya Deshmukh254,aditya.deshmukh254@gmail.com,c2VJAx6kYt,100.0,0,Bachelor's Degree,NEW_USER
Aditya Jadhav174,aditya.jadhav174@gmail.com,3FCTPa0duP,100.0,0,Bachelor's Degree,NEW_USER
Arjun Deshmukh693,arjun.deshmukh693@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar129,arjun.pawar129@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER
Arjun Pawar462,arjun.pawar462@gmail.com,(existing user - use current password),100.0,0,Bachelor's Degree,EXISTING_USER

# SUMMARY #
# Total Shortlisted: 10
# New Users: 6
# Existing Users: 4
# Existing users can login with their DreamRole credentials
# New users have generated passwords above
